Keyword Text,Competition,Competition Index,Search Volume,Low Top Page Bid,High Top Page Bid
warby parker warby parker,HIGH,100,823000,0.12,2.91
warby parker parker,HIGH,100,823000,0.12,2.91
pair eyewear,HIGH,100,246000,0.20,2.24
eyewear pair,HIGH,100,246000,0.20,2.24
pair of eyewear,HIGH,100,246000,0.20,2.24
prescription glasses,HIGH,100,165000,2.47,9.10
warby parker near me,MEDIUM,60,135000,0.06,2.17
eyewear glasses,HIGH,100,110000,2.38,7.05
eye glasses,HIGH,100,110000,2.38,7.05
eyesight glasses,HIGH,100,110000,2.38,7.05
eyeglass glasses,HIGH,100,110000,2.38,7.05
eyeye glasses,HIGH,100,110000,2.38,7.05
warby parker glasses,HIGH,100,60500,0.08,2.30
warby and parker glasses,HIGH,100,60500,0.08,2.30
warby and parker eyeglasses,HIGH,100,60500,0.08,2.30
mens glasses,HIGH,100,33100,1.14,3.84
men's glasses,HIGH,100,33100,1.14,3.84
men eyeglasses,HIGH,100,33100,1.14,3.84
eyewear glasses for men,HIGH,100,33100,1.14,3.84
eye glasses on men,HIGH,100,33100,1.14,3.84
glasses formen,HIGH,100,33100,1.14,3.84
cheap glasses,HIGH,100,27100,1.92,6.95
eyeglass frames,HIGH,100,27100,0.73,3.18
cheap prescription glasses,HIGH,95,27100,1.86,6.89
kids eyeglasses,HIGH,100,27100,2.05,7.39
kids glasses,HIGH,100,27100,2.05,7.39
affordable prescription eyeglasses,HIGH,95,27100,1.86,6.89
glasses shop,HIGH,100,22200,1.91,13.58
womens glasses,HIGH,100,22200,1.08,3.92
eyeglasses shop,HIGH,100,22200,1.91,13.58
eye prescription,LOW,33,22200,1.44,5.77
shop for glasses,HIGH,100,22200,1.91,13.58
cheap eyeglass exam near me,LOW,30,22200,2.24,9.30
women and glasses,HIGH,100,22200,1.08,3.92
eye wear,HIGH,100,18100,1.90,6.50
designer glasses,HIGH,100,18100,0.72,3.22
designer eyeglass frames,HIGH,100,18100,0.56,2.51
stylish glasses for men,HIGH,98,18100,0.63,2.32
men's designer eyeglass frames,HIGH,93,18100,0.56,2.44
men designer eyeglasses,HIGH,93,18100,0.56,2.44
fashionable men's glasses,HIGH,98,18100,0.63,2.32
fashionable men's eyeglasses,HIGH,98,18100,0.63,2.32
designer glasses men's,HIGH,93,18100,0.56,2.44
designer glasses and frames,HIGH,100,18100,0.56,2.51
glasses for style men,HIGH,98,18100,0.63,2.32
warby parker sunglasses,HIGH,100,14800,0.05,2.11
glasses store,HIGH,72,14800,1.61,6.03
affordable prescription sunglasses,HIGH,100,14800,2.15,8.25
sunglasses affordable,HIGH,100,14800,1.11,3.97
eyeglass centers,LOW,18,14800,2.36,9.18
warby and parker sunglasses,HIGH,100,14800,0.05,2.11
usa glasses,HIGH,72,12100,2.03,6.66
cheap eyeglasses,HIGH,100,12100,1.77,6.00
designer eyeglasses,HIGH,100,12100,0.77,3.77
glasses on men,MEDIUM,52,12100,,
warby parker locations,LOW,13,9900,0.05,0.22
warby parker eye exam,LOW,24,9900,0.39,6.34
warby eye exam,LOW,24,9900,0.39,6.34
designer glasses women,HIGH,100,9900,0.56,2.46
womens designer eyeglasses,HIGH,100,9900,0.56,2.46
warby and parker locations,LOW,13,9900,0.05,0.22
designer eyewear for women,HIGH,100,9900,0.56,2.46
designer glasses for ladies,HIGH,100,9900,0.56,2.46
glass frames,HIGH,100,8100,0.70,2.93
pair glasses,HIGH,100,8100,0.45,3.08
pair eyeglasses,HIGH,100,8100,0.45,3.08
eye glasses exam,LOW,21,8100,2.19,10.35
glasses and exam,LOW,21,8100,2.19,10.35
glasses with eye exam,LOW,21,8100,2.19,10.35
fashionable eyewear,HIGH,100,8100,1.32,32.59
eye exam and eyeglasses,LOW,21,8100,2.19,10.35
eyeglass exam and glasses,LOW,21,8100,2.19,10.35
eyeglasses eye exam,LOW,21,8100,2.19,10.35
glasses pair,HIGH,100,8100,0.45,3.08
eye check up and glasses,LOW,21,8100,2.19,10.35
pair of eyeglasses,HIGH,100,8100,0.45,3.08
american glasses,HIGH,78,6600,2.34,9.78
designer frames,HIGH,100,6600,0.75,2.75
warby parker contact,HIGH,100,6600,2.52,8.49
try glasses frames online,HIGH,100,6600,0.80,3.39
affordable glasses,HIGH,100,5400,2.21,7.00
cheap eye glasses,HIGH,100,5400,2.04,6.50
affordable eyeglasses,HIGH,100,5400,2.04,6.50
fashion glasses,HIGH,100,5400,0.89,3.10
women eyeglasses,HIGH,100,5400,0.94,3.56
best eye glasses for men,HIGH,100,5400,0.90,3.40
best men's eyeglasses,HIGH,100,5400,0.90,3.40
best prescription eyeglasses,HIGH,87,5400,1.43,7.67
sun glasses for over glasses,HIGH,100,5400,0.47,1.54
best men glasses,HIGH,100,5400,0.90,3.40
the look glasses,LOW,5,5400,0.53,4.79
styling glasses,HIGH,100,5400,0.89,3.10
womens designer eyeglass frames,HIGH,100,5400,0.48,2.00
top glasses for men,HIGH,100,5400,0.90,3.40
best eyewear for men,HIGH,100,5400,0.90,3.40
top men glasses,HIGH,100,5400,0.90,3.40
glasses try on at home,HIGH,100,4400,2.06,8.23
glasses try on,HIGH,100,4400,0.67,2.99
warby parker return policy,LOW,1,4400,0.72,10.72
eyeglasses try on at home,HIGH,100,4400,2.06,8.23
trendy eyeglasses,HIGH,100,4400,0.69,3.28
eyeglasses try on,HIGH,100,4400,0.67,2.99
kids prescription glasses,HIGH,100,4400,1.76,7.14
stylish glasses for women,HIGH,100,4400,0.56,2.17
us eyeglasses,HIGH,100,4400,2.26,8.46
eyewear try on,HIGH,100,4400,0.67,2.99
their glasses,LOW,10,4400,0.97,6.32
those glasses,LOW,10,4400,0.97,6.32
stylish eyewear for women,HIGH,100,4400,0.56,2.17
styles of womens glasses,HIGH,100,4400,0.56,2.17
warby parker eyeglasses,HIGH,100,3600,0.07,2.50
new glasses,HIGH,100,3600,1.74,6.00
